iter	Passed	Remaining
0	15	2490
1	36	2901
2	56	3004
3	86	3425
4	111	3517
5	137	3600
6	163	3652
7	189	3667
8	215	3682
9	244	3742
10	269	3722
11	294	3711
12	321	3704
13	343	3659
14	367	3621
15	390	3592
16	414	3560
17	438	3532
18	458	3472
19	484	3467
20	511	3459
21	535	3431
22	584	3558
23	625	3623
24	650	3590
25	678	3575
26	706	3556
27	734	3542
28	758	3507
29	784	3478
30	810	3449
31	835	3419
32	866	3413
33	898	3407
34	928	3396
35	962	3394
36	990	3373
37	1016	3344
38	1046	3327
39	1074	3305
40	1105	3288
41	1135	3272
42	1195	3335
43	1260	3407
44	1292	3388
45	1322	3362
46	1355	3345
47	1386	3321
48	1417	3297
49	1446	3268
50	1472	3233
51	1502	3208
52	1532	3180
53	1559	3147
54	1585	3113
55	1607	3072
56	1631	3033
57	1655	2997
58	1679	2959
59	1702	2922
60	1726	2886
61	1745	2843
62	1769	2809
63	1792	2772
64	1816	2738
65	1841	2706
66	1870	2679
67	1894	2646
68	1917	2612
69	1941	2579
70	1974	2558
71	2002	2530
72	2031	2504
73	2056	2473
74	2083	2444
75	2108	2413
76	2132	2381
77	2157	2351
78	2182	2320
79	2211	2294
80	2232	2260
81	2258	2230
82	2281	2199
83	2307	2170
84	2331	2139
85	2356	2110
86	2382	2081
87	2410	2054
88	2436	2025
89	2463	1997
90	2492	1972
91	2520	1945
92	2548	1918
93	2577	1892
94	2608	1866
95	2633	1837
96	2664	1812
97	2692	1785
98	2718	1757
99	2744	1729
100	2768	1699
101	2792	1670
102	2818	1641
103	2842	1612
104	2873	1587
105	2927	1574
106	2954	1546
107	2979	1517
108	3005	1489
109	3030	1459
110	3053	1430
111	3076	1401
112	3102	1372
113	3129	1345
114	3158	1318
115	3186	1291
116	3222	1266
117	3246	1238
118	3270	1209
119	3297	1181
120	3323	1153
121	3349	1125
122	3373	1097
123	3402	1070
124	3454	1050
125	3539	1039
126	3575	1013
127	3617	989
128	3658	964
129	3729	946
130	3778	922
131	3819	897
132	3853	869
133	3894	842
134	3949	819
135	3999	794
136	4050	768
137	4084	740
138	4125	712
139	4159	683
140	4192	654
141	4224	624
142	4259	595
143	4290	566
144	4319	536
145	4347	506
146	4377	476
147	4408	446
148	4438	417
149	4471	387
150	4500	357
151	4529	327
152	4568	298
153	4592	268
154	4627	238
155	4653	208
156	4673	178
157	4700	148
158	4725	118
159	4748	89
160	4770	59
161	4798	29
162	4821	0
