iter	F1	Logloss
0	0.7286821705	0.5799841761
1	0.7407407407	0.5227552163
2	0.7599243856	0.4785535117
3	0.774566474	0.4363569557
4	0.7751937984	0.4156666584
5	0.7837837838	0.4024474613
6	0.7766990291	0.3928416035
7	0.7837837838	0.3826952789
8	0.7884615385	0.3762864059
9	0.8023483366	0.3697502054
10	0.8093385214	0.3603361459
11	0.8139534884	0.3547747672
12	0.8208092486	0.3494556522
13	0.8210116732	0.3391981326
14	0.8219178082	0.3331711599
15	0.8126232742	0.3316946603
16	0.8165680473	0.3275430445
17	0.8274509804	0.3258389634
18	0.83203125	0.3238202032
19	0.8343079922	0.3229881325
20	0.8365758755	0.3199136511
21	0.8388349515	0.3176079385
22	0.8427184466	0.3133404006
23	0.84765625	0.3088532894
24	0.8526522593	0.3057209495
25	0.8599605523	0.3011445532
26	0.8582677165	0.2998021206
27	0.8588235294	0.2974050285
28	0.8605108055	0.2970035296
29	0.8688845401	0.2914556308
30	0.8693957115	0.2875045622
31	0.8699029126	0.2855128542
32	0.8720930233	0.279582111
33	0.8720930233	0.2772498582
34	0.8699029126	0.2765094898
35	0.8742746615	0.2739576972
36	0.8803088803	0.2723593776
37	0.8841698842	0.2682841814
38	0.8841698842	0.2674512107
39	0.8820116054	0.2648588183
40	0.8820116054	0.2632053709
41	0.8863198459	0.2602052687
42	0.8858800774	0.259530015
43	0.888030888	0.2579624259
44	0.888030888	0.2574714243
45	0.8897485493	0.2558091005
46	0.8897485493	0.2544505899
47	0.8914728682	0.2520857172
48	0.8914728682	0.2472417403
49	0.8914728682	0.2463783357
50	0.8914728682	0.2457620576
51	0.8936170213	0.2440800251
52	0.8957528958	0.2420244488
53	0.8957528958	0.2404711378
54	0.8970873786	0.236965871
55	0.9009708738	0.2354747483
56	0.9009708738	0.2334156014
57	0.9009708738	0.2311768264
58	0.8957528958	0.2293302375
59	0.8992248062	0.2283547927
60	0.8996138996	0.2246341802
61	0.9073359073	0.2215915431
62	0.9055876686	0.2204150115
63	0.9076923077	0.2171071312
64	0.9076923077	0.2155330672
65	0.9097888676	0.2129398478
66	0.9097888676	0.2128491747
67	0.9097888676	0.212250155
68	0.9097888676	0.2100456318
69	0.9097888676	0.2079385827
70	0.9118773946	0.207399488
71	0.9118773946	0.206388284
72	0.9094412331	0.2040599364
73	0.9115384615	0.2023251966
74	0.9115384615	0.2016044178
75	0.9136276392	0.2009483178
76	0.9136276392	0.1998522299
77	0.9174664107	0.1968879047
78	0.9174664107	0.1950305929
79	0.9195402299	0.1902957449
80	0.9195402299	0.1891747663
81	0.9195402299	0.1871547511
82	0.9201520913	0.1860662087
83	0.9242424242	0.1836474927
84	0.9262759924	0.1827354415
85	0.9245283019	0.1818941377
86	0.9283018868	0.1804655494
87	0.9283018868	0.1801125881
88	0.9303201507	0.1787919709
89	0.9303201507	0.1778432345
90	0.9303201507	0.1756477526
91	0.9303201507	0.1750349747
92	0.9303201507	0.1746240803
93	0.9303201507	0.1741541783
94	0.9303201507	0.1736437477
95	0.9303201507	0.172129188
96	0.9323308271	0.1698736594
97	0.9323308271	0.1680817219
98	0.936329588	0.1670923791
99	0.9380863039	0.1659251262
100	0.9380863039	0.165388745
101	0.9380863039	0.1634093368
102	0.9380863039	0.162142224
103	0.9380863039	0.1617462833
104	0.9398496241	0.1612406526
105	0.9398496241	0.1605481301
106	0.9416195857	0.1598461047
107	0.9416195857	0.1592611539
108	0.9416195857	0.1587335115
109	0.9416195857	0.1573258679
110	0.9398496241	0.1568225713
111	0.9398496241	0.1564896844
112	0.9398496241	0.1561703421
113	0.9398496241	0.1540527916
114	0.9398496241	0.1521672503
115	0.9398496241	0.1507789418
116	0.9398496241	0.1496626455
117	0.9398496241	0.1489185241
118	0.9398496241	0.148021444
119	0.9418386492	0.147577909
120	0.9418386492	0.1474810441
121	0.9418386492	0.1473894345
122	0.9418386492	0.1469933426
123	0.9418386492	0.1464819763
124	0.9455909944	0.1455448942
125	0.9455909944	0.1445753096
126	0.9455909944	0.1440691736
127	0.9455909944	0.1432503436
128	0.9475655431	0.142687553
129	0.9455909944	0.1422901021
130	0.9475655431	0.1411920538
131	0.9475655431	0.1407575405
132	0.9475655431	0.1399261475
133	0.9475655431	0.1396999484
134	0.9475655431	0.1394804761
135	0.9475655431	0.1389324307
136	0.9475655431	0.138491014
137	0.9475655431	0.1376348491
138	0.9495327103	0.1357544367
139	0.9493433396	0.1353284878
140	0.9475655431	0.1343622146
141	0.9475655431	0.1337984527
142	0.9455909944	0.1332480135
143	0.9475655431	0.1323321368
144	0.9511278195	0.1319444304
145	0.9511278195	0.1313566568
146	0.9511278195	0.1312576579
147	0.953271028	0.1300868156
148	0.953271028	0.1296112054
149	0.953271028	0.1285193881
150	0.953271028	0.1279183475
151	0.9513108614	0.1271585621
152	0.953271028	0.1256252018
153	0.953271028	0.12538891
154	0.953271028	0.1246984546
155	0.953271028	0.1242523657
156	0.953271028	0.1240122127
157	0.9552238806	0.1231945772
158	0.9552238806	0.1224379339
159	0.9552238806	0.1211879518
160	0.9552238806	0.1208059094
161	0.9552238806	0.1202712465
162	0.95716946	0.1185419171
