iter	Passed	Remaining
0	10	1287
1	19	1164
2	35	1388
3	40	1185
4	53	1240
5	68	1294
6	73	1186
7	89	1258
8	106	1308
9	114	1260
10	122	1214
11	138	1246
12	143	1181
13	161	1219
14	176	1232
15	191	1247
16	204	1241
17	220	1251
18	236	1256
19	253	1266
20	270	1273
21	274	1224
22	279	1178
23	292	1171
24	308	1173
25	325	1175
26	340	1173
27	356	1170
28	371	1164
29	385	1157
30	401	1152
31	416	1144
32	425	1122
33	453	1147
34	471	1145
35	488	1138
36	504	1131
37	520	1122
38	536	1113
39	552	1104
40	568	1094
41	584	1085
42	600	1074
43	616	1064
44	632	1053
45	648	1043
46	665	1032
47	680	1021
48	697	1011
49	714	1000
50	730	988
51	746	976
52	762	963
53	781	954
54	798	943
55	815	932
56	834	922
57	852	910
58	871	901
59	889	889
60	903	873
61	916	857
62	932	844
63	951	832
64	967	818
65	983	804
66	998	789
67	1014	775
68	1030	761
69	1045	746
70	1060	732
71	1075	717
72	1095	705
73	1108	689
74	1125	675
75	1139	659
76	1155	645
77	1170	630
78	1185	615
79	1200	600
80	1216	585
81	1231	570
82	1246	555
83	1263	541
84	1279	527
85	1297	513
86	1310	497
87	1327	482
88	1343	467
89	1358	452
90	1374	438
91	1391	423
92	1406	408
93	1421	393
94	1438	378
95	1452	363
96	1466	347
97	1482	332
98	1524	323
99	1541	308
100	1557	293
101	1571	277
102	1586	261
103	1601	246
104	1616	230
105	1632	215
106	1647	200
107	1661	184
108	1676	169
109	1691	153
110	1707	138
111	1722	123
112	1736	107
113	1749	92
114	1764	76
115	1783	61
116	1797	46
117	1811	30
118	1826	15
119	1840	0
