iter	F1	Logloss
0	0.7490494297	0.5626071902
1	0.7620889749	0.478811102
2	0.7641325536	0.4341343346
3	0.765625	0.4110567763
4	0.771037182	0.3922590476
5	0.7734375	0.3788442375
6	0.7890625	0.370452375
7	0.7976190476	0.3649612027
8	0.7953216374	0.3569833417
9	0.7976190476	0.3529931722
10	0.8023715415	0.3478840266
11	0.8070866142	0.3403887905
12	0.8233009709	0.3344461446
13	0.828125	0.3291620238
14	0.8493150685	0.3176609912
15	0.8515625	0.3163305229
16	0.8498023715	0.3133045918
17	0.8508946322	0.3125994405
18	0.8475247525	0.3104340764
19	0.8543307087	0.3028803692
20	0.859375	0.3003553462
21	0.8615984405	0.2982313675
22	0.8677042802	0.2931573484
23	0.8720930233	0.2880697659
24	0.8764478764	0.2847822925
25	0.8781431335	0.2809521606
26	0.8837209302	0.2798612677
27	0.8815533981	0.2790650456
28	0.8841698842	0.277067079
29	0.8829174664	0.2713703028
30	0.8850574713	0.2675292931
31	0.8871892925	0.2668662923
32	0.8871892925	0.2657966193
33	0.893129771	0.2629012592
34	0.8905950096	0.2596121908
35	0.8948374761	0.25792566
36	0.8923076923	0.2558272548
37	0.8923076923	0.2511789045
38	0.8905950096	0.2486154937
39	0.8905950096	0.2475526196
40	0.8961538462	0.2465532036
41	0.8923076923	0.2444415471
42	0.8901734104	0.2415788763
43	0.8901734104	0.24020323
44	0.8961538462	0.2372929112
45	0.894026975	0.2355730394
46	0.9003831418	0.2326825248
47	0.9003831418	0.2300467724
48	0.9038461538	0.2280458633
49	0.9021113244	0.227460677
50	0.9045801527	0.2256146656
51	0.9042145594	0.2226078239
52	0.9042145594	0.2223582882
53	0.9042145594	0.2213166444
54	0.908045977	0.2181123959
55	0.908045977	0.2163648306
56	0.908045977	0.2162947038
57	0.905950096	0.2137674429
58	0.9055876686	0.2122335505
59	0.9055876686	0.2115354789
60	0.9076923077	0.2104235428
61	0.9115384615	0.2079365225
62	0.9115384615	0.2073528621
63	0.9136276392	0.2039842746
64	0.9136276392	0.2001031008
65	0.9174664107	0.198222052
66	0.9177820268	0.196362798
67	0.9239543726	0.1941144034
68	0.9219047619	0.1902893555
69	0.9198473282	0.1878624263
70	0.9239543726	0.18569108
71	0.9259962049	0.1837665807
72	0.9239543726	0.1818969019
73	0.9259962049	0.1814517942
74	0.9259962049	0.1806776868
75	0.928030303	0.1794054532
76	0.9259962049	0.1780660283
77	0.9303201507	0.1766920621
78	0.9303201507	0.1761760422
79	0.9323308271	0.1745062414
80	0.936329588	0.1721094874
81	0.9343339587	0.1705954878
82	0.9360902256	0.1694614009
83	0.9380863039	0.1660030881
84	0.9380863039	0.1657278734
85	0.9360902256	0.164594868
86	0.934086629	0.163832417
87	0.9360902256	0.1623260971
88	0.9360902256	0.1605479773
89	0.9360902256	0.1597889272
90	0.9380863039	0.1589119548
91	0.9400749064	0.1578039843
92	0.9418386492	0.1566442767
93	0.9418386492	0.1562989795
94	0.9418386492	0.1558603705
95	0.9418386492	0.1547573329
96	0.9418386492	0.1545677095
97	0.9418386492	0.1537529488
98	0.9416195857	0.1530704845
99	0.9416195857	0.1525126333
100	0.945386064	0.1513497156
101	0.945386064	0.1505775843
102	0.9493433396	0.1492503347
103	0.9495327103	0.1480707457
104	0.9495327103	0.1472609482
105	0.9495327103	0.1461636783
106	0.9495327103	0.1459378694
107	0.9513108614	0.1448673666
108	0.9513108614	0.1445725236
109	0.9513108614	0.1427314735
110	0.953271028	0.1412126675
111	0.953271028	0.1404354298
112	0.953271028	0.1398561226
113	0.953271028	0.1391180357
114	0.953271028	0.1383114582
115	0.953271028	0.1372979342
116	0.9552238806	0.1363740392
117	0.953271028	0.1357406772
118	0.953271028	0.1349716244
119	0.953271028	0.1341000045
120	0.953271028	0.1329282556
121	0.953271028	0.1319679145
122	0.953271028	0.1313196143
123	0.9552238806	0.1305622956
124	0.9552238806	0.130163261
125	0.9552238806	0.1295925465
126	0.9552238806	0.1292258598
127	0.9552238806	0.1271184773
128	0.9552238806	0.1265000493
129	0.9552238806	0.126139846
130	0.95716946	0.1243752284
131	0.95716946	0.1235528451
132	0.95716946	0.1233816627
133	0.9591078067	0.1229704991
134	0.9591078067	0.1228930044
135	0.9552238806	0.1222481398
136	0.95716946	0.1211733582
137	0.95716946	0.1203718781
138	0.95716946	0.1198643388
139	0.9552238806	0.1190456862
140	0.95716946	0.1176030776
141	0.95716946	0.116834479
142	0.95716946	0.11640627
143	0.9591078067	0.1156867644
144	0.95716946	0.1148905779
145	0.95716946	0.1137804025
146	0.95716946	0.1132944818
147	0.95716946	0.1114200876
148	0.9591078067	0.1106776933
149	0.961038961	0.1103077895
150	0.9628252788	0.108661924
151	0.9628252788	0.1066286156
152	0.9628252788	0.106121107
153	0.9628252788	0.1055772807
154	0.9628252788	0.1049290101
155	0.9628252788	0.1041075824
156	0.9628252788	0.1017151797
157	0.9628252788	0.1011562726
158	0.9628252788	0.09995247795
159	0.9628252788	0.09901237393
160	0.9628252788	0.09876008575
161	0.9666666667	0.09830621778
162	0.9666666667	0.09788379395
