iter	Passed	Remaining
0	16	2644
1	37	3020
2	61	3269
3	84	3340
4	107	3389
5	131	3429
6	154	3438
7	179	3482
8	205	3515
9	226	3462
10	248	3439
11	271	3421
12	294	3397
13	317	3376
14	339	3354
15	364	3352
16	386	3318
17	412	3326
18	435	3302
19	460	3294
20	488	3300
21	510	3269
22	534	3251
23	556	3223
24	583	3221
25	605	3192
26	629	3171
27	662	3193
28	686	3171
29	715	3172
30	746	3180
31	770	3154
32	793	3124
33	819	3107
34	841	3078
35	864	3048
36	889	3028
37	916	3015
38	937	2980
39	962	2958
40	982	2924
41	1005	2895
42	1030	2876
43	1053	2848
44	1074	2818
45	1097	2790
46	1122	2769
47	1142	2736
48	1167	2717
49	1191	2692
50	1213	2665
51	1234	2635
52	1259	2614
53	1283	2589
54	1305	2562
55	1328	2537
56	1350	2512
57	1373	2486
58	1395	2460
59	1421	2441
60	1444	2414
61	1465	2388
62	1489	2364
63	1511	2338
64	1545	2330
65	1571	2309
66	1595	2285
67	1617	2259
68	1640	2234
69	1667	2215
70	1691	2191
71	1713	2165
72	1734	2138
73	1758	2114
74	1782	2091
75	1808	2070
76	1830	2044
77	1852	2018
78	1873	1991
79	1897	1968
80	1925	1949
81	1946	1922
82	1972	1900
83	1994	1876
84	2016	1850
85	2037	1824
86	2062	1801
87	2084	1776
88	2107	1751
89	2130	1727
90	2152	1702
91	2174	1678
92	2197	1654
93	2222	1631
94	2247	1608
95	2270	1584
96	2292	1559
97	2316	1536
98	2341	1513
99	2365	1490
100	2394	1470
101	2423	1449
102	2445	1424
103	2465	1398
104	2492	1376
105	2517	1353
106	2541	1330
107	2565	1306
108	2601	1288
109	2656	1279
110	2684	1257
111	2705	1232
112	2732	1209
113	2759	1186
114	2784	1162
115	2803	1135
116	2830	1112
117	2858	1090
118	2884	1066
119	2909	1042
120	2934	1018
121	2959	994
122	2985	970
123	3009	946
124	3031	921
125	3063	899
126	3099	878
127	3125	854
128	3149	830
129	3172	805
130	3198	781
131	3220	756
132	3244	731
133	3270	707
134	3290	682
135	3313	657
136	3336	633
137	3357	608
138	3380	583
139	3405	559
140	3430	535
141	3451	510
142	3478	486
143	3500	461
144	3523	437
145	3547	413
146	3572	388
147	3593	364
148	3615	339
149	3637	315
150	3659	290
151	3689	266
152	3715	242
153	3739	218
154	3764	194
155	3789	170
156	3811	145
157	3835	121
158	3856	97
159	3881	72
160	3908	48
161	3937	24
162	3959	0
