iter	Passed	Remaining
0	4	582
1	9	545
2	14	575
3	28	836
4	45	1051
5	53	1023
6	72	1167
7	89	1248
8	105	1300
9	121	1340
10	140	1388
11	156	1410
12	172	1422
13	189	1434
14	205	1437
15	221	1440
16	238	1444
17	254	1440
18	270	1439
19	285	1426
20	301	1421
21	317	1412
22	333	1405
23	338	1352
24	354	1345
25	369	1337
26	385	1327
27	400	1317
28	409	1285
29	425	1276
30	442	1269
31	458	1259
32	472	1245
33	493	1247
34	513	1246
35	532	1242
36	549	1233
37	566	1221
38	584	1213
39	603	1206
40	610	1176
41	624	1159
42	643	1152
43	660	1140
44	679	1132
45	698	1123
46	717	1114
47	736	1105
48	756	1096
49	776	1087
50	797	1078
51	817	1068
52	851	1076
53	870	1064
54	891	1053
55	911	1041
56	931	1029
57	950	1015
58	968	1000
59	988	988
60	1007	974
61	1026	960
62	1045	946
63	1066	933
64	1087	920
65	1105	904
66	1126	891
67	1150	879
68	1175	868
69	1197	855
70	1218	840
71	1238	825
72	1258	810
73	1278	794
74	1298	778
75	1316	762
76	1336	746
77	1356	730
78	1376	714
79	1395	697
80	1414	681
81	1434	664
82	1456	649
83	1474	631
84	1493	615
85	1513	598
86	1535	582
87	1563	568
88	1583	551
89	1603	534
90	1622	517
91	1643	500
92	1663	483
93	1684	465
94	1705	448
95	1734	433
96	1762	417
97	1783	400
98	1806	383
99	1827	365
100	1849	347
101	1870	330
102	1892	312
103	1913	294
104	1934	276
105	1954	258
106	1974	239
107	1993	221
108	2013	203
109	2033	184
110	2059	166
111	2080	148
112	2119	131
113	2140	112
114	2160	93
115	2180	75
116	2204	56
117	2224	37
118	2243	18
119	2265	0
