iter	F1	Logloss
0	0.7123809524	0.6275160972
1	0.7123809524	0.6219462334
2	0.7123809524	0.6029388
3	0.7123809524	0.5490756568
4	0.7242026266	0.505237185
5	0.7242026266	0.5042304999
6	0.729981378	0.4744387817
7	0.7358490566	0.456682002
8	0.729981378	0.4448027455
9	0.729981378	0.4434267361
10	0.729981378	0.4363166787
11	0.7374301676	0.4297946522
12	0.7368421053	0.4189412273
13	0.7490636704	0.4113291824
14	0.739047619	0.403786851
15	0.7485148515	0.4005494642
16	0.7533460803	0.397016411
17	0.7701375246	0.3932411088
18	0.766798419	0.391655153
19	0.7779960707	0.3879878912
20	0.77582846	0.3863588183
21	0.7852998066	0.384828457
22	0.7805825243	0.3826976521
23	0.7805825243	0.3826915991
24	0.7782101167	0.3822684543
25	0.7788649706	0.3804089778
26	0.7803921569	0.3760597279
27	0.7843137255	0.373899091
28	0.7843137255	0.3738954673
29	0.7819253438	0.3733204342
30	0.7810650888	0.3693887492
31	0.7834645669	0.3671730888
32	0.7801980198	0.3659674117
33	0.7889546351	0.3643988439
34	0.7889546351	0.3607293166
35	0.7913385827	0.3569819956
36	0.7920792079	0.3520862406
37	0.7920792079	0.3515849304
38	0.7944664032	0.3501847321
39	0.8007889546	0.3483073724
40	0.8007889546	0.348307269
41	0.8007889546	0.3481899762
42	0.8	0.3470820799
43	0.7976424361	0.3469729607
44	0.7992125984	0.3446684445
45	0.7992125984	0.3408257082
46	0.8023715415	0.3388420049
47	0.8007889546	0.3350386652
48	0.804040404	0.3318152331
49	0.8056112224	0.3295562693
50	0.8072289157	0.3273703273
51	0.810483871	0.324021684
52	0.814516129	0.3223410152
53	0.8121212121	0.3194299662
54	0.814516129	0.3149172187
55	0.814516129	0.3141546835
56	0.8209255533	0.3089114574
57	0.8249496982	0.3063164947
58	0.8253968254	0.3042110965
59	0.8310139165	0.3011774529
60	0.8423153693	0.2987876789
61	0.8492063492	0.2969847408
62	0.8492063492	0.2969134478
63	0.8531746032	0.2902743143
64	0.8599605523	0.2846790057
65	0.8571428571	0.281501009
66	0.8571428571	0.2801506283
67	0.8588235294	0.2767828486
68	0.8678500986	0.2725110286
69	0.8656126482	0.2671744571
70	0.8700787402	0.264539755
71	0.8678500986	0.2635214277
72	0.8722986248	0.2592592878
73	0.8767123288	0.2569253701
74	0.8722986248	0.2554697558
75	0.8722986248	0.2550339029
76	0.8722986248	0.2537392225
77	0.87890625	0.25030659
78	0.8854368932	0.2454973852
79	0.8893203883	0.2443141158
80	0.88671875	0.2430868212
81	0.88671875	0.242475192
82	0.88671875	0.2405724436
83	0.8918918919	0.2379421029
84	0.8897485493	0.2361464561
85	0.8957528958	0.2334469121
86	0.8978805395	0.2318816744
87	0.8996138996	0.2298837755
88	0.901734104	0.2294707459
89	0.8996138996	0.2288389619
90	0.901734104	0.2283292982
91	0.905950096	0.2273753707
92	0.9076923077	0.2264491922
93	0.9038461538	0.2245067939
94	0.901734104	0.2205305527
95	0.9034749035	0.2188036173
96	0.9034749035	0.2155970677
97	0.9073359073	0.2129552326
98	0.9073359073	0.2118070079
99	0.9094412331	0.2069114585
100	0.9097888676	0.2057167252
101	0.9097888676	0.2045081423
102	0.908045977	0.1999087633
103	0.913957935	0.1975326438
104	0.9160305344	0.1931925966
105	0.9198473282	0.1904093387
106	0.9198473282	0.1901936512
107	0.9198473282	0.1875738555
108	0.9198473282	0.1849218652
109	0.928030303	0.1786754539
110	0.9259962049	0.1780121757
111	0.9300567108	0.1744737477
112	0.9318181818	0.1728296567
113	0.9318181818	0.172334507
114	0.9318181818	0.1711155774
115	0.9318181818	0.170244046
116	0.9318181818	0.1699276469
117	0.9297912713	0.1680661975
118	0.9297912713	0.1677794625
119	0.9338374291	0.1616042736
