iter	Passed	Remaining
0	21	2559
1	38	2283
2	51	2018
3	66	1942
4	84	1933
5	99	1886
6	114	1853
7	122	1716
8	138	1705
9	154	1700
10	170	1689
11	186	1681
12	201	1656
13	205	1558
14	221	1549
15	237	1542
16	253	1537
17	265	1507
18	276	1470
19	293	1467
20	305	1437
21	309	1380
22	321	1356
23	337	1349
24	355	1349
25	369	1337
26	379	1306
27	394	1296
28	412	1294
29	430	1290
30	448	1287
31	463	1275
32	474	1252
33	490	1240
34	507	1231
35	522	1218
36	527	1182
37	542	1169
38	556	1156
39	572	1145
40	589	1135
41	605	1124
42	622	1114
43	640	1106
44	653	1089
45	661	1064
46	676	1050
47	690	1035
48	705	1022
49	721	1010
50	730	987
51	745	974
52	761	962
53	778	951
54	793	938
55	809	925
56	826	913
57	844	902
58	860	889
59	878	878
60	894	864
61	911	852
62	927	838
63	943	825
64	958	811
65	974	797
66	989	782
67	1005	768
68	1019	753
69	1035	739
70	1049	724
71	1069	712
72	1085	698
73	1101	684
74	1116	669
75	1132	655
76	1148	641
77	1164	627
78	1181	613
79	1198	599
80	1216	585
81	1232	571
82	1247	556
83	1265	542
84	1281	527
85	1298	513
86	1313	498
87	1329	483
88	1345	468
89	1361	453
90	1378	439
91	1393	423
92	1409	409
93	1425	394
94	1440	379
95	1457	364
96	1476	350
97	1490	334
98	1503	319
99	1520	304
100	1534	288
101	1548	273
102	1562	257
103	1579	242
104	1593	227
105	1609	212
106	1626	197
107	1641	182
108	1656	167
109	1671	151
110	1687	136
111	1701	121
112	1716	106
113	1732	91
114	1749	76
115	1765	60
116	1781	45
117	1797	30
118	1813	15
119	1829	0
