iter	F1	Logloss
0	0.7508896797	0.59676179
1	0.7531083481	0.5356040899
2	0.7531083481	0.4879299602
3	0.7553191489	0.4793753977
4	0.7783985102	0.4505130496
5	0.7829313544	0.4317686335
6	0.7835820896	0.4263646622
7	0.7790262172	0.4257344625
8	0.7835820896	0.417118181
9	0.7813084112	0.4150361294
10	0.7790262172	0.3998816107
11	0.7790262172	0.3993823983
12	0.785046729	0.3909524325
13	0.785046729	0.3908349331
14	0.7879924953	0.3839850866
15	0.7894736842	0.3806073832
16	0.7894736842	0.3750150109
17	0.7879924953	0.3741625023
18	0.7925233645	0.3713749582
19	0.7940074906	0.3703759658
20	0.7962616822	0.3696819364
21	0.7962616822	0.3696762896
22	0.7962616822	0.3691297994
23	0.7962616822	0.3674959097
24	0.797752809	0.3645584034
25	0.797752809	0.3617790467
26	0.7962616822	0.3616931416
27	0.8037383178	0.3581271649
28	0.8014981273	0.3554595578
29	0.8014981273	0.354421822
30	0.8014981273	0.3513992539
31	0.8007518797	0.3490117055
32	0.799249531	0.3487112135
33	0.799249531	0.3481894031
34	0.8030018762	0.3440968697
35	0.8060263653	0.342556091
36	0.8060263653	0.3425560287
37	0.8075471698	0.3399030722
38	0.8075471698	0.3382394676
39	0.8075471698	0.336885182
40	0.8082706767	0.3352176861
41	0.8097928437	0.3344601182
42	0.8113207547	0.3330281045
43	0.8228571429	0.3262896311
44	0.8183556405	0.3253297379
45	0.8183556405	0.3251602958
46	0.8167938931	0.3233350537
47	0.8183556405	0.322088217
48	0.820610687	0.3195367187
49	0.825095057	0.3141046009
50	0.825095057	0.3140555161
51	0.8288973384	0.3100916074
52	0.8358778626	0.3050955711
53	0.8333333333	0.3032064668
54	0.8365019011	0.3006494782
55	0.8409090909	0.298154753
56	0.8421052632	0.2946034436
57	0.8473282443	0.2919017147
58	0.8468809074	0.286317638
59	0.8528301887	0.2822155827
60	0.8533834586	0.2766426787
61	0.8566037736	0.2752932144
62	0.8566037736	0.2717221531
63	0.8641509434	0.2643091763
64	0.8625235405	0.2628556988
65	0.8689138577	0.2581765239
66	0.8705440901	0.2556371919
67	0.8705440901	0.2552102137
68	0.8705440901	0.2520392203
69	0.8816793893	0.2487555707
70	0.8816793893	0.2456822343
71	0.8838095238	0.2441256589
72	0.8854961832	0.2432355811
73	0.8812260536	0.2428815804
74	0.8846153846	0.2409259439
75	0.8910133843	0.2355339179
76	0.8905950096	0.2295029608
77	0.8961538462	0.2244340729
78	0.8986615679	0.2197630025
79	0.9003831418	0.2189655236
80	0.9063097514	0.2149114746
81	0.9063097514	0.212723485
82	0.9063097514	0.2113899393
83	0.9169811321	0.2073153007
84	0.9169811321	0.2065721797
85	0.9169811321	0.203895951
86	0.9190207156	0.2009400162
87	0.9190207156	0.1971471008
88	0.9172932331	0.1956735187
89	0.9172932331	0.1954832164
90	0.9172932331	0.1946500827
91	0.9190207156	0.1931277897
92	0.920754717	0.1891748108
93	0.9248120301	0.1863741385
94	0.9248120301	0.1853453365
95	0.9268292683	0.1825526002
96	0.9268292683	0.1811447732
97	0.9248120301	0.1792612835
98	0.9268292683	0.1780855342
99	0.9288389513	0.1741696334
100	0.9288389513	0.173450681
101	0.9288389513	0.170459421
102	0.9323308271	0.1683113352
103	0.9305816135	0.1675846079
104	0.9323308271	0.1656669577
105	0.9323308271	0.1633942647
106	0.9338374291	0.1624586668
107	0.9376181474	0.1610369783
108	0.9358490566	0.160565466
109	0.9393939394	0.1576957886
110	0.9411764706	0.1555384899
111	0.9393939394	0.1544977011
112	0.9376181474	0.1519866039
113	0.9376181474	0.1509740062
114	0.9376181474	0.1493199954
115	0.9376181474	0.1483493813
116	0.9416195857	0.1439698417
117	0.9433962264	0.1429869305
118	0.9433962264	0.1418026397
119	0.9473684211	0.137572319
