iter	Passed	Remaining
0	11	1893
1	23	1865
2	37	1977
3	54	2157
4	71	2254
5	88	2321
6	103	2303
7	121	2359
8	141	2414
9	158	2422
10	179	2480
11	197	2481
12	214	2475
13	231	2467
14	251	2480
15	268	2466
16	285	2449
17	321	2590
18	337	2557
19	354	2534
20	371	2514
21	390	2502
22	412	2508
23	430	2493
24	448	2475
25	466	2456
26	483	2435
27	501	2417
28	518	2394
29	535	2374
30	554	2362
31	575	2354
32	601	2368
33	621	2358
34	642	2351
35	660	2331
36	683	2326
37	703	2312
38	720	2291
39	737	2268
40	753	2243
41	772	2226
42	791	2208
43	808	2187
44	827	2168
45	844	2148
46	861	2127
47	879	2106
48	897	2089
49	916	2070
50	934	2053
51	952	2033
52	969	2012
53	994	2007
54	1013	1990
55	1030	1969
56	1048	1949
57	1065	1928
58	1083	1910
59	1103	1894
60	1124	1879
61	1146	1867
62	1166	1851
63	1189	1840
64	1206	1819
65	1238	1820
66	1258	1803
67	1286	1797
68	1310	1784
69	1330	1767
70	1348	1747
71	1365	1726
72	1382	1704
73	1400	1684
74	1419	1665
75	1440	1649
76	1458	1628
77	1475	1607
78	1493	1587
79	1514	1571
80	1534	1553
81	1556	1537
82	1577	1520
83	1597	1502
84	1620	1486
85	1648	1476
86	1668	1457
87	1693	1443
88	1716	1427
89	1737	1409
90	1763	1395
91	1786	1378
92	1807	1360
93	1829	1343
94	1855	1328
95	1889	1318
96	1916	1303
97	1937	1285
98	1960	1267
99	1981	1248
100	2005	1231
101	2025	1211
102	2047	1192
103	2074	1177
104	2098	1159
105	2119	1139
106	2166	1133
107	2207	1124
108	2236	1108
109	2274	1095
110	2299	1077
111	2331	1061
112	2355	1042
113	2382	1024
114	2407	1004
115	2431	985
116	2455	965
117	2480	946
118	2503	925
119	2530	906
120	2554	886
121	2579	866
122	2604	847
123	2633	828
124	2657	807
125	2686	788
126	2712	768
127	2744	750
128	2776	731
129	2800	710
130	2824	690
131	2849	669
132	2875	648
133	2901	627
134	2927	607
135	2961	587
136	2987	566
137	3014	546
138	3039	524
139	3063	503
140	3092	482
141	3117	461
142	3148	440
143	3176	419
144	3200	397
145	3225	375
146	3248	353
147	3274	331
148	3297	309
149	3327	288
150	3352	266
151	3394	245
152	3419	223
153	3446	201
154	3469	179
155	3493	156
156	3517	134
157	3542	112
158	3563	89
159	3592	67
160	3616	44
161	3644	22
162	3668	0
