iter	Passed	Remaining
0	13	2168
1	37	3029
2	55	2971
3	69	2766
4	84	2675
5	101	2648
6	121	2713
7	140	2717
8	156	2684
9	175	2684
10	192	2657
11	209	2638
12	227	2630
13	246	2619
14	264	2614
15	282	2596
16	302	2599
17	320	2581
18	337	2559
19	354	2538
20	373	2525
21	392	2513
22	412	2510
23	427	2478
24	442	2441
25	460	2424
26	477	2404
27	498	2403
28	514	2375
29	532	2359
30	549	2339
31	566	2319
32	584	2301
33	601	2283
34	618	2262
35	636	2244
36	653	2224
37	671	2209
38	688	2190
39	707	2176
40	726	2162
41	744	2145
42	761	2125
43	779	2108
44	797	2090
45	819	2083
46	837	2065
47	854	2048
48	874	2034
49	894	2020
50	912	2004
51	934	1995
52	956	1985
53	977	1972
54	996	1956
55	1014	1938
56	1032	1920
57	1050	1901
58	1068	1883
59	1085	1863
60	1102	1844
61	1125	1833
62	1141	1811
63	1159	1792
64	1178	1777
65	1194	1755
66	1212	1736
67	1229	1717
68	1246	1697
69	1262	1677
70	1279	1657
71	1295	1637
72	1312	1618
73	1331	1601
74	1348	1582
75	1368	1566
76	1386	1548
77	1406	1532
78	1425	1515
79	1443	1498
80	1464	1482
81	1483	1465
82	1502	1448
83	1522	1432
84	1542	1415
85	1562	1398
86	1582	1382
87	1601	1364
88	1619	1346
89	1638	1328
90	1655	1309
91	1673	1291
92	1689	1271
93	1706	1252
94	1723	1233
95	1740	1214
96	1758	1196
97	1774	1177
98	1793	1159
99	1811	1141
100	1828	1122
101	1846	1104
102	1864	1086
103	1883	1068
104	1900	1050
105	1917	1031
106	1933	1012
107	1951	993
108	1965	973
109	1982	955
110	2000	937
111	2018	919
112	2035	900
113	2053	882
114	2070	864
115	2087	845
116	2103	826
117	2121	808
118	2138	790
119	2156	772
120	2171	753
121	2192	736
122	2211	719
123	2228	700
124	2246	682
125	2262	664
126	2279	646
127	2296	628
128	2313	609
129	2329	591
130	2346	573
131	2362	554
132	2380	536
133	2394	518
134	2410	499
135	2426	481
136	2448	464
137	2466	446
138	2484	428
139	2502	411
140	2519	393
141	2537	375
142	2554	357
143	2572	339
144	2589	321
145	2607	303
146	2626	285
147	2646	268
148	2664	250
149	2681	232
150	2699	214
151	2717	196
152	2735	178
153	2752	160
154	2770	142
155	2787	125
156	2806	107
157	2826	89
158	2842	71
159	2859	53
160	2877	35
161	2895	17
162	2912	0
