iter	F1	Logloss
0	0.7471264368	0.5734809294
1	0.7533460803	0.5066273452
2	0.7557251908	0.4596923007
3	0.7600767754	0.4318253566
4	0.7600767754	0.4167981403
5	0.7600767754	0.4087373968
6	0.7635658915	0.4005980273
7	0.7659574468	0.3971708956
8	0.7730769231	0.3896173744
9	0.7760617761	0.3853048801
10	0.7775628627	0.3823014769
11	0.7755905512	0.381048406
12	0.7898832685	0.3738240616
13	0.7945736434	0.3670192341
14	0.8084291188	0.3559087667
15	0.816091954	0.3507831483
16	0.8062622309	0.3459871983
17	0.8201160542	0.3427132652
18	0.8217054264	0.342012824
19	0.8171206226	0.338021074
20	0.8171206226	0.3366655048
21	0.8194174757	0.3328735577
22	0.8156862745	0.3283002907
23	0.8156862745	0.3260534051
24	0.8149606299	0.3238516582
25	0.8251473477	0.32006006
26	0.8219178082	0.3185385048
27	0.8219178082	0.3155018536
28	0.8219178082	0.3151650145
29	0.8260869565	0.310747415
30	0.8274509804	0.3072650622
31	0.8290766208	0.3068595983
32	0.8258317025	0.3058743963
33	0.8290766208	0.3019678749
34	0.8330058939	0.3005736176
35	0.8414872798	0.2993847754
36	0.8414872798	0.2953980221
37	0.8385826772	0.2941588003
38	0.842519685	0.2919083453
39	0.8454011742	0.2895601512
40	0.8454011742	0.2883535848
41	0.84765625	0.2870182172
42	0.84765625	0.2853643337
43	0.8538011696	0.2849694804
44	0.859375	0.2818252716
45	0.8610567515	0.2785621378
46	0.8610567515	0.2750802597
47	0.8610567515	0.2717305437
48	0.8582677165	0.2690633661
49	0.8605108055	0.2644055043
50	0.8610567515	0.2633964009
51	0.859375	0.2619790725
52	0.86328125	0.2605615821
53	0.8615984405	0.2567453326
54	0.8638132296	0.2559321204
55	0.8671875	0.2523958228
56	0.8715953307	0.251878852
57	0.8693957115	0.2509678441
58	0.8759689922	0.2476377309
59	0.8759689922	0.2459028971
60	0.8759689922	0.2435974132
61	0.8759689922	0.2426065392
62	0.8781431335	0.2416864486
63	0.8781431335	0.2406613531
64	0.8798449612	0.2337254108
65	0.8798449612	0.2335782831
66	0.8798449612	0.2330464095
67	0.8820116054	0.230773283
68	0.8820116054	0.2283341776
69	0.8841698842	0.2264643495
70	0.8837209302	0.2237026396
71	0.888030888	0.2216323055
72	0.888030888	0.219496949
73	0.888030888	0.2188242846
74	0.8932038835	0.2138532475
75	0.8953488372	0.2125615394
76	0.8932038835	0.2111808979
77	0.8932038835	0.2098569158
78	0.8953488372	0.2088608246
79	0.8953488372	0.2080440856
80	0.8974854932	0.2063055488
81	0.8974854932	0.2060325655
82	0.8932038835	0.2047648873
83	0.8953488372	0.202032806
84	0.8974854932	0.2014652976
85	0.8974854932	0.201006431
86	0.8974854932	0.1995875522
87	0.9034749035	0.198264341
88	0.9034749035	0.1979443422
89	0.9034749035	0.1964555301
90	0.9076923077	0.1945291132
91	0.9076923077	0.193616369
92	0.9076923077	0.1923466161
93	0.9076923077	0.1921466386
94	0.9076923077	0.1909302788
95	0.9076923077	0.1886255923
96	0.9097888676	0.1877191684
97	0.9097888676	0.1865670766
98	0.9097888676	0.1861001363
99	0.9097888676	0.1853085407
100	0.9118773946	0.184079075
101	0.913957935	0.1830737821
102	0.913957935	0.1802988791
103	0.9160305344	0.1777386592
104	0.9198473282	0.1763924751
105	0.9216061185	0.17565284
106	0.9216061185	0.174532296
107	0.9216061185	0.171763285
108	0.9216061185	0.1711444211
109	0.9236641221	0.1697538123
110	0.9195402299	0.1686409729
111	0.9236641221	0.1675688967
112	0.9236641221	0.1660817275
113	0.9236641221	0.1655464635
114	0.9257142857	0.1643994417
115	0.9257142857	0.1638015823
116	0.9257142857	0.1634313403
117	0.9257142857	0.1617822746
118	0.9318181818	0.1603427473
119	0.9318181818	0.159749265
120	0.9335863378	0.1587423275
121	0.9353612167	0.1573152609
122	0.9335863378	0.156545455
123	0.9353612167	0.1550787117
124	0.9353612167	0.1544851116
125	0.9353612167	0.152910717
126	0.9373814042	0.1503412349
127	0.9393939394	0.1490072365
128	0.9431818182	0.1472889908
129	0.9431818182	0.1468290327
130	0.9471698113	0.1446646161
131	0.9491525424	0.143996955
132	0.9491525424	0.1428281292
133	0.9509433962	0.1426399835
134	0.9529190207	0.1416927306
135	0.9547169811	0.1406203151
136	0.9527410208	0.1390597094
137	0.9547169811	0.1379052675
138	0.9566854991	0.1370056563
139	0.9566854991	0.1355545977
140	0.9489603025	0.1345098337
141	0.9586466165	0.1333002611
142	0.9566854991	0.132831128
143	0.9547169811	0.1318124985
144	0.9547169811	0.1314722778
145	0.9547169811	0.1310065074
146	0.9547169811	0.1304659746
147	0.9566854991	0.1295970284
148	0.9586466165	0.128689014
149	0.9586466165	0.1279600032
150	0.9566854991	0.1275722019
151	0.9566854991	0.1272929299
152	0.9566854991	0.1271090155
153	0.9604519774	0.1257274119
154	0.9662921348	0.1224737235
155	0.9662921348	0.1221477841
156	0.9662921348	0.1218227235
157	0.9662921348	0.1210059142
158	0.9662921348	0.1202160422
159	0.9662921348	0.1200280603
160	0.9662921348	0.119438514
161	0.9662921348	0.1186514674
162	0.9662921348	0.1176910582
