iter	F1	Logloss
0	0.7216890595	0.5939985448
1	0.6666666667	0.5835358036
2	0.7344632768	0.5259562597
3	0.6712643678	0.5238257542
4	0.6697459584	0.5183465341
5	0.6697674419	0.4707697961
6	0.6697674419	0.4699009371
7	0.6697674419	0.4680450941
8	0.6993318486	0.4541393648
9	0.7152034261	0.4383606925
10	0.7126948775	0.430791975
11	0.7333333333	0.4220281882
12	0.7333333333	0.4080325746
13	0.7333333333	0.4078601304
14	0.7295597484	0.4031903128
15	0.750499002	0.4003764364
16	0.765625	0.3946479295
17	0.759295499	0.3874569881
18	0.7565392354	0.3837175617
19	0.7624750499	0.38222436
20	0.7578125	0.3800719055
21	0.7565392354	0.3795431114
22	0.7615230461	0.3794418143
23	0.7615230461	0.3794385924
24	0.7615230461	0.3794364768
25	0.7636363636	0.377561045
26	0.7636363636	0.3775609982
27	0.7704590818	0.3718207176
28	0.7788649706	0.3697569537
29	0.7819253438	0.3648286645
30	0.7803921569	0.3646476378
31	0.7803921569	0.3620827743
32	0.7753479125	0.3618708289
33	0.7786561265	0.3580522415
34	0.7786561265	0.3580407053
35	0.7786561265	0.3580392023
36	0.7786561265	0.3573114203
37	0.7801980198	0.3548819388
38	0.7817460317	0.3511232055
39	0.7841584158	0.3492406234
40	0.7920792079	0.3468850353
41	0.7928286853	0.3422919474
42	0.7928286853	0.3417829357
43	0.796812749	0.3405792328
44	0.796812749	0.3392167515
45	0.7952286282	0.3371204649
46	0.803960396	0.3351512905
47	0.8031496063	0.3324564655
48	0.8023715415	0.3292455913
49	0.8007889546	0.3282954846
50	0.8031496063	0.3234102265
51	0.8031496063	0.3222760253
52	0.8055009823	0.3197598491
53	0.8055009823	0.31895074
54	0.8055009823	0.3172430777
55	0.8078431373	0.315244096
56	0.8109161793	0.310416413
57	0.8187134503	0.3076501783
58	0.8226120858	0.3055446158
59	0.8265107212	0.301122621
60	0.835589942	0.2938127795
61	0.8423076923	0.2901041579
62	0.8390804598	0.2886989495
63	0.8505747126	0.2856067627
64	0.8538899431	0.2829202122
65	0.854442344	0.2790156375
66	0.8576850095	0.276559124
67	0.8620689655	0.2729107333
68	0.8670520231	0.2697383637
69	0.8598848369	0.2667343987
70	0.8598848369	0.2643122651
71	0.8620689655	0.2601073224
72	0.8685714286	0.2583432333
73	0.8702290076	0.2565521949
74	0.8702290076	0.2556566603
75	0.8718929254	0.2545011905
76	0.8735632184	0.2526247334
77	0.8778625954	0.248006071
78	0.8778625954	0.2462379089
79	0.8778625954	0.2443175571
80	0.8859315589	0.243261777
81	0.8901515152	0.2383288968
82	0.8901515152	0.2372321637
83	0.8960302457	0.2359238713
84	0.9001883239	0.2336716833
85	0.904315197	0.2305756266
86	0.9060150376	0.2263809827
87	0.9018867925	0.2260324047
88	0.9018867925	0.2240142499
89	0.9039548023	0.2199716807
90	0.9039548023	0.2183611028
91	0.9039548023	0.2170932597
92	0.9056603774	0.2160417825
93	0.9077212806	0.2136655548
94	0.9097744361	0.2122240921
95	0.9097744361	0.2107053721
96	0.9169811321	0.2082913171
97	0.9187145558	0.2078519322
98	0.9187145558	0.2055144865
99	0.9187145558	0.2033474523
100	0.920754717	0.1996715454
101	0.922787194	0.1969528144
102	0.9268292683	0.1928293465
103	0.9265536723	0.1913245382
104	0.9265536723	0.1910958837
105	0.9300567108	0.1886434126
106	0.9300567108	0.1879152576
107	0.9300567108	0.1866550977
108	0.9320754717	0.1825466573
109	0.9320754717	0.1818241742
110	0.9320754717	0.1809279832
111	0.9320754717	0.1804501238
112	0.9320754717	0.1784050102
113	0.934086629	0.1770265473
114	0.934086629	0.1760037782
115	0.9378531073	0.1752987422
116	0.9378531073	0.1743023256
117	0.9360902256	0.1731087043
118	0.9378531073	0.1721219269
119	0.9360902256	0.1704591461
