iter	Passed	Remaining
0	171	20451
1	189	11163
2	202	7904
3	217	6308
4	225	5187
5	242	4601
6	254	4109
7	272	3810
8	284	3506
9	300	3307
10	316	3140
11	333	2999
12	338	2785
13	354	2681
14	372	2609
15	389	2531
16	408	2472
17	426	2415
18	442	2352
19	454	2272
20	470	2219
21	487	2172
22	493	2079
23	508	2035
24	523	1990
25	539	1950
26	557	1919
27	573	1884
28	582	1827
29	599	1798
30	611	1756
31	623	1713
32	638	1682
33	649	1642
34	654	1590
35	670	1563
36	685	1538
37	701	1514
38	717	1489
39	725	1451
40	732	1412
41	748	1389
42	765	1370
43	783	1352
44	800	1334
45	816	1313
46	833	1293
47	838	1257
48	852	1234
49	860	1204
50	877	1187
51	895	1171
52	911	1151
53	920	1125
54	935	1106
55	951	1087
56	968	1070
57	984	1052
58	997	1031
59	1011	1011
60	1027	994
61	1043	976
62	1059	958
63	1074	940
64	1090	922
65	1105	904
66	1120	886
67	1137	869
68	1153	852
69	1167	833
70	1182	816
71	1197	798
72	1212	780
73	1228	763
74	1243	746
75	1258	728
76	1273	711
77	1287	693
78	1303	676
79	1319	659
80	1334	642
81	1347	624
82	1362	607
83	1378	590
84	1395	574
85	1409	557
86	1423	539
87	1441	524
88	1457	507
89	1473	491
90	1487	474
91	1503	457
92	1518	440
93	1533	424
94	1547	407
95	1563	390
96	1579	374
97	1594	358
98	1608	341
99	1622	324
100	1638	308
101	1653	291
102	1668	275
103	1684	259
104	1699	242
105	1715	226
106	1732	210
107	1747	194
108	1762	177
109	1777	161
110	1792	145
111	1809	129
112	1826	113
113	1843	97
114	1857	80
115	1872	64
116	1887	48
117	1902	32
118	1915	16
119	1929	0
