iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.7083117986828933,0.04737469016611836,0.7063126172130345,0.04620823129353314,0.6094243086518347,0.019905903628813757,0.607922118174461,0.015147741030229303
1,0.695429900571769,0.057434196780706076,0.6977897448361084,0.046363219408215826,0.5822104235663362,0.03162085617893146,0.5796189498644302,0.03173937346575716
2,0.7130170360853564,0.039967949788800854,0.7152607039892477,0.03584469800154483,0.5418877966853548,0.0430893640819471,0.5368932372385216,0.04233490755969777
3,0.7116793700723962,0.04942082587652955,0.7033895324821051,0.042887306415883356,0.5261257620794013,0.037283005092375816,0.5189781708643283,0.02935819987914683
4,0.7324120424475951,0.05316358081003135,0.7219233307187183,0.03940097897454856,0.5038948306691884,0.03140693119028557,0.49785860673348203,0.02830085817218734
5,0.7118152346752147,0.04221046592391885,0.7121313105642005,0.0509280296419614,0.4928255866930241,0.024836400154739716,0.4807088465719781,0.030845400379735193
6,0.7124368981843723,0.04011398964107003,0.7143065444764698,0.05080921177677586,0.48607310966492967,0.021086090932309336,0.4721506973034407,0.0290985151680441
7,0.7290919930046046,0.050688065837311225,0.7265916597923316,0.039329442746941445,0.47443655856111827,0.027981102883861724,0.4619340323765092,0.022798159854629865
8,0.7320766748675971,0.05268482958468454,0.7335189974480442,0.031026993839061018,0.4675625226049374,0.0333510746906211,0.44926272865531186,0.01988545730423034
9,0.7392044606017592,0.04501931261182006,0.7390602001145814,0.02550662268880063,0.4622710682595148,0.03380642107791321,0.44326083900776725,0.01894257037954015
10,0.7159026159026158,0.0419091231450557,0.7247360022594276,0.04197516817989801,0.45841388946692624,0.035759633147566604,0.4358192969597058,0.023682248597401354
11,0.7340340853963145,0.049799489956335374,0.7466413183109077,0.01848551696835028,0.4555193252955149,0.03768717151252514,0.42949063212118566,0.02054729613614099
12,0.7373028575061262,0.045912364743279865,0.7477278081926859,0.02120335007770887,0.45230459314288074,0.03433459607385782,0.4228060665555143,0.02526915221254855
13,0.7165967745457973,0.03952934136394013,0.7425155654494573,0.028828541893317843,0.45204671478359504,0.036592663605980846,0.41944086671429376,0.02354022496484875
14,0.7188575347129774,0.03843008584193298,0.7399676972239584,0.0313409813191681,0.4468795394447733,0.03793784845245393,0.41265932915204584,0.022906046541634924
15,0.7237755769150194,0.036452687267628174,0.7471919416756279,0.029901329136428942,0.4465658700625319,0.04119294929170671,0.40904025096452745,0.022346743835279296
16,0.7338470956652775,0.03293336870111199,0.7531816292359343,0.027854323359511417,0.4446540035912424,0.03895972810206444,0.40545138398945213,0.02425258041699744
17,0.7448260100987711,0.026710613246325513,0.7536802612424073,0.030092541346392467,0.43990882488753635,0.042321734879408476,0.40161260360230777,0.02385057259805927
18,0.7527577571507067,0.03554179107493431,0.7618453521870829,0.019066918921248274,0.43805220470509926,0.04325821870847744,0.39823475010130505,0.023052818825795848
19,0.748319932220207,0.0316760535978754,0.7590185138060541,0.030889240532817844,0.4389611738023166,0.04495596017284677,0.3964987498128285,0.023219489684065123
20,0.7525168490939762,0.031910938084437866,0.7633625548950256,0.023309444853113773,0.4353795543165013,0.048936896987848005,0.3908747239575576,0.018222741625625302
21,0.7487207100007235,0.03379418914187363,0.7646190504279077,0.025824618044825796,0.43451457453754755,0.04952330469630774,0.3897568385172306,0.017254830578328148
22,0.7531538454262254,0.03142737272290353,0.764672356102938,0.02469347097729167,0.43556241253178474,0.05073561449132539,0.3891983869863104,0.017598740874805074
23,0.7555722297738389,0.03353867672357812,0.7641487616414361,0.02611810612414569,0.43512570783872134,0.051330642853391506,0.38824343318588894,0.01717656998255321
24,0.754494909607752,0.03495128810666666,0.7651180543511562,0.02526773517579746,0.4344685567341016,0.050869119327799334,0.38724131946607165,0.017693809546791707
